Seed,Species,Shiny,EC,PID,Tera Type,HP,Atk,Def,SpA,SpD,Spe,Ability,Nature,Gender,Height,Weight,Scale,Drops
074F816D,Tadbulb,Yes,29ECEBC8,35CAD427,Steel,0,0,6,19,20,31,Static,Jolly,Female,192,197,158,0
092DB74B,Skwovet,Yes,2BCB21A6,C312D95F,Bug,18,31,5,26,0,8,Cheek Pouch,Docile,Male,97,224,158,0
1781AEBD,Applin,Yes,3A1F1918,1FF24D28,Electric,31,17,21,31,30,19,Ripen,Naive,Female,81,198,158,0
1ACB3E49,Dunsparce (Common),Yes,3D68A8A4,3A8CC1A5,Ground,27,14,27,31,6,25,Serene Grace,Hasty,Female,93,215,158,0
1B7D905F,Skiddo,Yes,3E1AFABA,1298CB0F,Grass,12,21,31,6,1,11,Sap Sipper,Naive,Female,38,115,158,0
1CE89367,Litleo,Yes,3F85FDC2,CE3F1D7A,Flying,31,23,6,17,26,31,Unnerve,Brave,Female,220,174,158,0
1D254235,Wattrel,Yes,3FC2AC90,B86F9850,Dark,2,26,31,17,27,10,Volt Absorb,Brave,Male,138,110,158,0
1F390FC9,Tadbulb,Yes,41D67A24,04E77558,Ground,27,11,31,5,6,7,Static,Impish,Male,126,161,158,0
249B7A21,Azurill,Yes,4738E47C,8DE83922,Flying,15,31,9,9,18,31,Huge Power,Gentle,Female,157,110,158,0
2E5038E0,Azurill,Yes,50EDA33B,7780E414,Ground,31,4,8,14,23,12,Huge Power,Quiet,Female,125,180,158,0
31869139,Rockruff,Yes,5423FB94,460549D4,Ground,9,26,26,2,31,24,Vital Spirit,Quiet,Male,142,159,158,0
32EF7667,Bounsweet,Yes,558CE0C2,E68F13F7,Flying,15,25,16,31,13,29,Leaf Guard,Calm,Female,102,96,158,0
3459BDAB,Bonsly,Yes,56F72806,A6231E33,Bug,1,5,7,20,31,31,Sturdy,Naughty,Female,171,128,158,0
35D51612,Flittle,Yes,5872806D,944EF3FD,Psychic,31,14,8,0,30,11,Anticipation,Gentle,Male,48,45,158,0
3C3CC71C,Hatenna,Yes,5EDA3177,3B2EE4F6,Water,30,31,22,25,18,23,Anticipation,Gentle,Female,106,183,158,0
4DCAF373,Litleo,Yes,70685DCE,7BC565CB,Ice,31,23,18,18,1,12,Unnerve,Impish,Female,167,124,158,0
555C2FE3,Shellder,Yes,77F99A3E,CB509AFC,Bug,17,31,30,30,17,11,Skill Link,Serious,Male,96,125,158,0
574177A1,Kricketot,Yes,79DEE1FC,547F05A4,Steel,6,26,28,26,3,31,Shed Skin,Serious,Female,192,192,158,0
57A963A7,Flabébé,Yes,7A46CE02,F529FD90,Flying,14,31,8,14,30,21,Flower Veil,Quirky,Female,91,182,158,0
59C854DA,Hatenna,Yes,7C65BF35,7FD9E6C5,Dark,27,4,11,17,5,31,Healer,Naive,Female,51,135,158,0
5A10EACA,Wattrel,Yes,7CAE5525,A1008833,Rock,20,20,17,27,21,31,Volt Absorb,Quirky,Male,66,110,158,0
5F04CA22,Skiddo,Yes,81A2347D,73EBE8F3,Steel,31,8,11,12,15,8,Sap Sipper,Hardy,Male,171,53,158,0
672E886D,Nacli,Yes,89CBF2C8,1E121017,Steel,21,16,26,31,31,23,Purifying Salt,Adamant,Male,91,127,158,0
6D59291D,Applin,Yes,8FF69378,D462C050,Dragon,16,31,19,23,10,22,Gluttony,Gentle,Female,173,128,158,0
6E3D8867,Nacli,Yes,90DAF2C2,621D6F08,Flying,13,6,2,31,5,22,Sturdy,Docile,Female,139,171,158,0
73C74D64,Fidough,Yes,9664B7BF,8CADBFFA,Fire,31,6,18,0,1,3,Own Tempo,Bold,Male,222,136,158,0
7B48A909,Sunkern,Yes,9DE61364,9AB48C91,Ground,16,15,14,28,31,0,Solar Power,Modest,Male,159,97,158,0
81232116,Tarountula,Yes,A3C08B71,165A3F1D,Fairy,6,16,1,0,31,11,Insomnia,Naive,Male,160,208,158,0
82B34FDF,Tadbulb,Yes,A550BA3A,5421AF13,Dragon,0,31,14,3,28,26,Own Tempo,Hardy,Female,79,100,158,0
875BBE4D,Ralts,Yes,A9F928A8,F571669A,Steel,23,7,19,31,3,30,Synchronize,Rash,Male,247,78,158,0
878F7B27,Pichu,Yes,AA2CE582,A71A00EB,Flying,28,8,31,1,25,8,Static,Serious,Female,140,159,158,0
8B4F2B09,Wattrel,Yes,ADEC9564,AA91EF46,Ground,0,30,27,31,3,5,Volt Absorb,Lonely,Female,84,127,158,0
8E131237,Petilil,Yes,B0B07C92,E01E7F0D,Fighting,23,23,31,16,7,22,Own Tempo,Calm,Female,123,158,158,0
90511033,Yungoos,Yes,B2EE7A8E,EC230AC1,Ice,3,27,9,9,0,31,Stakeout,Relaxed,Male,139,57,158,0
96C00642,Petilil,Yes,B95D709D,B316C743,Dragon,31,29,22,18,23,26,Own Tempo,Quiet,Female,155,140,158,0
9B87BDC9,Bonsly,Yes,BE252824,9B986608,Ground,6,1,19,30,20,31,Rock Head,Bashful,Male,209,151,158,0
A373EBBF,Smoliv,Yes,C611561A,74CBD734,Flying,2,25,31,26,24,3,Early Bird,Gentle,Female,149,109,158,0
ABF21EE9,Wingull,Yes,CE8F8944,7B06B151,Ground,15,30,23,7,31,2,Hydration,Calm,Male,105,124,158,0
B6A38C3E,Charcadet,Yes,D940F699,4D92F834,Poison,30,31,18,3,1,20,Flash Fire,Rash,Female,86,146,158,0
B7CF4D39,Fidough,Yes,DA6CB794,D9065096,Flying,2,7,31,2,19,28,Own Tempo,Jolly,Male,239,101,158,0
B87681F2,Wiglett,Yes,DB13EC4D,7D82B041,Psychic,29,17,29,31,29,18,Gooey,Naive,Female,142,95,158,0
BB17DE54,Ralts,Yes,DDB548AF,FFB4D0A8,Dragon,6,1,31,11,12,1,Synchronize,Quiet,Female,135,126,158,0
BEF3B8D6,Azurill,Yes,E1912331,942A7859,Fairy,11,30,0,15,16,31,Thick Fat,Impish,Female,158,113,158,0
BF416659,Snom,Yes,E1DED0B4,D947FECF,Dragon,4,11,7,17,31,7,Shield Dust,Quiet,Male,84,150,158,0
C8070EDF,Tynamo,Yes,EAA4793A,D5BBE385,Fighting,23,1,31,15,20,26,Levitate,Lonely,Male,167,165,158,0
D6CC25E6,Shroodle,Yes,F9699041,FA9A36AB,Fighting,5,31,23,7,8,6,Unburden,Calm,Female,166,97,158,0
DE9EB445,Snom,Yes,013C1EA0,4C1BFBB8,Normal,31,2,18,15,29,8,Shield Dust,Careful,Male,100,193,158,0
F15DFDA0,Bonsly,Yes,13FB67FB,58B7A694,Dark,16,10,24,6,17,31,Sturdy,Careful,Female,60,203,158,0
F81F05CE,Makuhita,Yes,1ABC7029,67AD369F,Fire,19,20,15,31,9,22,Thick Fat,Quirky,Male,69,100,158,0
